storm_id,usa_atcf_id,geoid,closest_date,storm_dist
Harvey-2017,AL092017,22041950400,2017-08-31T10:00:00Z,31.6621630570442
Harvey-2017,AL092017,22041950500,2017-08-31T09:00:00Z,19.6257524627012
Harvey-2017,AL092017,22041950600,2017-08-31T08:45:00Z,35.3996891082557
Harvey-2017,AL092017,22043020100,2017-08-31T03:00:00Z,10.7277775653937
Harvey-2017,AL092017,22043020200,2017-08-31T01:45:00Z,35.5323120330833
Harvey-2017,AL092017,22043020300,2017-08-31T01:15:00Z,17.5807323798974
Harvey-2017,AL092017,22043020401,2017-08-31T02:00:00Z,2.58175352852609
Harvey-2017,AL092017,22043020402,2017-08-31T01:30:00Z,3.16944994986006
Harvey-2017,AL092017,22045030100,2017-08-30T18:30:00Z,153.523582719705
Harvey-2017,AL092017,22045030200,2017-08-30T19:15:00Z,143.123199941523
Harvey-2017,AL092017,22045030301,2017-08-30T18:30:00Z,132.071230872727
Harvey-2017,AL092017,22045030302,2017-08-30T18:00:00Z,128.830517655254
Harvey-2017,AL092017,22045030400,2017-08-30T18:00:00Z,136.680950151569
Harvey-2017,AL092017,22045030500,2017-08-30T18:30:00Z,137.994656492822
Harvey-2017,AL092017,22045030600,2017-08-30T18:45:00Z,142.636952123207
Harvey-2017,AL092017,22045030700,2017-08-30T18:30:00Z,140.241255571545
Harvey-2017,AL092017,22045030800,2017-08-30T18:30:00Z,138.022337947001
Harvey-2017,AL092017,22045030900,2017-08-30T18:15:00Z,138.342196234364
Harvey-2017,AL092017,22045031000,2017-08-30T18:30:00Z,139.79885956925
Harvey-2017,AL092017,22045031100,2017-08-30T18:30:00Z,141.202984295856
