storm_id,usa_atcf_id,geoid,max_pct_out,avg_customer_hrs_out
Florence-2018,AL062018,37131,0.3462301587301587,0.7091187169312169
Florence-2018,AL062018,37133,0.9252597561446652,87.60137570974263
Florence-2018,AL062018,37135,0.23253144079736993,3.766124823879351
Florence-2018,AL062018,37137,1,169.2389563776919
Florence-2018,AL062018,37139,0.0010550378055213644,0.0026082879080944845
Florence-2018,AL062018,37141,1,135.26725423728814
Florence-2018,AL062018,37143,0.008852915138484886,0.019539648412798784
Florence-2018,AL062018,37145,0.2109858130229174,1.2540014550745726
Florence-2018,AL062018,37147,0.02308761134406868,2.307684911793167
Florence-2018,AL062018,37149,0.08111217641418984,0.6510546500479386
Florence-2018,AL062018,37151,0.16406974884018558,3.7608062709966403
Florence-2018,AL062018,37153,1,51.48618170266836
Florence-2018,AL062018,37155,0.5899429327599041,49.330576461831114
Florence-2018,AL062018,37157,0.4649532710280374,1.7899851316907391
Florence-2018,AL062018,37159,0.230782844669931,3.4306678072090144
Florence-2018,AL062018,37161,0.2289666854884246,4.420242800677583
Florence-2018,AL062018,37163,1,68.1653578784758
Florence-2018,AL062018,37165,1,73.48250617988211
Florence-2018,AL062018,37167,0.0812073568673984,2.7249147137347967
Florence-2018,AL062018,37169,0.3357898109580263,4.290692085869914
Florence-2018,AL062018,37171,0.04782087901962591,0.26089560490187047
Florence-2018,AL062018,37173,NA,NA
Florence-2018,AL062018,37175,NA,NA
Florence-2018,AL062018,37177,0.08893380495199596,1.198711470439616
Florence-2018,AL062018,37179,0.09959026418786693,2.9563623715753424
Florence-2018,AL062018,37181,1,19.147740440324448
Florence-2018,AL062018,37183,0.6839689417013427,18.15414932864313
Florence-2018,AL062018,37185,0.3233674272226593,2.225937581956465
Florence-2018,AL062018,37187,0.14894140817331364,2.3593057607090104
Florence-2018,AL062018,37189,0.10784743533537922,0.4446788689171416
Florence-2018,AL062018,37191,1,50.804068285112514
Florence-2018,AL062018,37193,0.16301914946530713,1.9527169858244218
Florence-2018,AL062018,37195,0.015402311749523062,0.25077151834810907
Florence-2018,AL062018,37197,0.03206562266964952,0.5351416853094706
Florence-2018,AL062018,37199,0.019772614928324272,0.13198220464656452
