storm_id,usa_atcf_id,geoid,DATE,PRCPpred
Matthew-2016,AL142016,37023020801,2016-09-23,9.707554997144788
Matthew-2016,AL142016,37023020802,2016-09-23,8.760648189529467
Matthew-2016,AL142016,37023020900,2016-09-23,4.988565982801425
Matthew-2016,AL142016,37023021000,2016-09-23,2.03205871537255
Matthew-2016,AL142016,37023021100,2016-09-23,1.078844258686583
Matthew-2016,AL142016,37023021201,2016-09-23,6.857387699189399
Matthew-2016,AL142016,37023021202,2016-09-23,1.268348979795107
Matthew-2016,AL142016,37023021203,2016-09-23,2.9905822875835733
Matthew-2016,AL142016,37023021301,2016-09-23,8.062950040645253
Matthew-2016,AL142016,37023021302,2016-09-23,7.209776791786508
Matthew-2016,AL142016,37023021400,2016-09-23,9.584690677311395
Matthew-2016,AL142016,37025040500,2016-09-23,28.869868893880035
Matthew-2016,AL142016,37025040600,2016-09-23,20.588772282056652
Matthew-2016,AL142016,37025040701,2016-09-23,19.372339411971232
Matthew-2016,AL142016,37025040702,2016-09-23,19.29239948663333
Matthew-2016,AL142016,37025040703,2016-09-23,19.047241753737588
Matthew-2016,AL142016,37025040800,2016-09-23,16.17290839377354
Matthew-2016,AL142016,37025040900,2016-09-23,16.276142397183456
Matthew-2016,AL142016,37025041000,2016-09-23,11.57021334348489
Matthew-2016,AL142016,37025041100,2016-09-23,16.0854554001782
Matthew-2016,AL142016,37025041200,2016-09-23,11.389626142364026
Matthew-2016,AL142016,37025041301,2016-09-23,8.823676084853798
Matthew-2016,AL142016,37025041302,2016-09-23,10.500180310357198
Matthew-2016,AL142016,37025041303,2016-09-23,18.593856662893494
Matthew-2016,AL142016,37025041501,2016-09-23,37.46124654319644
Matthew-2016,AL142016,37025041502,2016-09-23,45.51455126890219
Matthew-2016,AL142016,37025041503,2016-09-23,29.284306617702327
Matthew-2016,AL142016,37025041601,2016-09-23,85.18754549993106
Matthew-2016,AL142016,37025041602,2016-09-23,41.594014774370635
Matthew-2016,AL142016,37025041701,2016-09-23,43.38589742097856
Matthew-2016,AL142016,37025041702,2016-09-23,38.86873023019099
Matthew-2016,AL142016,37025041901,2016-09-23,18.56802965245024
Matthew-2016,AL142016,37025041902,2016-09-23,18.408186371266527
Matthew-2016,AL142016,37025042000,2016-09-23,23.936757735681716
Matthew-2016,AL142016,37025042101,2016-09-23,18.520113713909574
Matthew-2016,AL142016,37025042102,2016-09-23,26.527697384141167
Matthew-2016,AL142016,37025042200,2016-09-23,25.116087865241134
Matthew-2016,AL142016,37025042300,2016-09-23,18.084255683306882
Matthew-2016,AL142016,37025042401,2016-09-23,18.735308858275676
Matthew-2016,AL142016,37025042402,2016-09-23,14.291038590373438
Matthew-2016,AL142016,37025042501,2016-09-23,14.045041607546832
Matthew-2016,AL142016,37025042502,2016-09-23,17.642869542102876
Matthew-2016,AL142016,37025042503,2016-09-23,13.691567591660126
Matthew-2016,AL142016,37025042504,2016-09-23,18.33713396589949
Matthew-2016,AL142016,37025042601,2016-09-23,21.80724880958881
Matthew-2016,AL142016,37025042602,2016-09-23,23.15707469513796
Matthew-2016,AL142016,37025042603,2016-09-23,31.11008070704776
Matthew-2016,AL142016,37025042604,2016-09-23,34.82604137144846
Matthew-2016,AL142016,37027030100,2016-09-23,10.020127413328154
Matthew-2016,AL142016,37027030200,2016-09-23,8.460307296864567
Matthew-2016,AL142016,37027030300,2016-09-23,6.829799548088599
Matthew-2016,AL142016,37027030400,2016-09-23,6.392458846177563
Matthew-2016,AL142016,37027030500,2016-09-23,7.424029182006497
Matthew-2016,AL142016,37027030600,2016-09-23,4.235781575490481
Matthew-2016,AL142016,37027030700,2016-09-23,5.204298133574316
Matthew-2016,AL142016,37027030800,2016-09-23,7.186065918100232
Matthew-2016,AL142016,37027030900,2016-09-23,8.51549867730471
Matthew-2016,AL142016,37027031000,2016-09-23,5.024459099527418
Matthew-2016,AL142016,37027031100,2016-09-23,5.916050691947871
Matthew-2016,AL142016,37027031201,2016-09-23,4.046026068939961
Matthew-2016,AL142016,37027031202,2016-09-23,3.83303695602984
Matthew-2016,AL142016,37027031300,2016-09-23,1.0823745253406833
Matthew-2016,AL142016,37027031401,2016-09-23,4.294292922891891
Matthew-2016,AL142016,37027031402,2016-09-23,2.2292863284302977
Matthew-2016,AL142016,37027031403,2016-09-23,3.02955969531523
Matthew-2016,AL142016,37029950101,2016-09-23,8.956108420269732
Matthew-2016,AL142016,37029950102,2016-09-23,5.328541426340314
Matthew-2016,AL142016,37031970101,2016-09-23,156.33293715913783
Matthew-2016,AL142016,37031970102,2016-09-23,96.12129084136718
Matthew-2016,AL142016,37031970103,2016-09-23,81.24051582092893
Matthew-2016,AL142016,37031970200,2016-09-23,79.38761409491885
Matthew-2016,AL142016,37031970301,2016-09-23,53.50205449984797
Matthew-2016,AL142016,37031970302,2016-09-23,85.58280977668504
Matthew-2016,AL142016,37031970303,2016-09-23,111.9500195586801
Matthew-2016,AL142016,37031970304,2016-09-23,91.56141075181117
Matthew-2016,AL142016,37031970401,2016-09-23,187.97497262008682
Matthew-2016,AL142016,37031970402,2016-09-23,177.64954223220664
Matthew-2016,AL142016,37031970403,2016-09-23,194.70043092222076
Matthew-2016,AL142016,37031970501,2016-09-23,202.3075771623909
Matthew-2016,AL142016,37031970502,2016-09-23,177.31399202695354
Matthew-2016,AL142016,37031970503,2016-09-23,190.99467669513203
Matthew-2016,AL142016,37031970504,2016-09-23,170.92273233748566
Matthew-2016,AL142016,37031970601,2016-09-23,345.64504044299406
Matthew-2016,AL142016,37031970602,2016-09-23,325.2081666949984
Matthew-2016,AL142016,37031970603,2016-09-23,329.8039536171042
Matthew-2016,AL142016,37031970604,2016-09-23,234.25691598216525
Matthew-2016,AL142016,37031970605,2016-09-23,164.01636909466487
Matthew-2016,AL142016,37031970701,2016-09-23,346.89096331275493
Matthew-2016,AL142016,37031970702,2016-09-23,349.65214356816574
Matthew-2016,AL142016,37031970703,2016-09-23,360.2844262966458
Matthew-2016,AL142016,37031970704,2016-09-23,124.0060984732297
Matthew-2016,AL142016,37031970801,2016-09-23,65.78371257559887
Matthew-2016,AL142016,37031970802,2016-09-23,70.4509126467897
Matthew-2016,AL142016,37031970803,2016-09-23,59.40141061499134
Matthew-2016,AL142016,37031970804,2016-09-23,106.59414059021505
Matthew-2016,AL142016,37031970805,2016-09-23,116.18688977712924
Matthew-2016,AL142016,37031970901,2016-09-23,61.80875357471592
Matthew-2016,AL142016,37031970902,2016-09-23,63.17611603805353
Matthew-2016,AL142016,37031970903,2016-09-23,111.39041729945771
Matthew-2016,AL142016,37031971001,2016-09-23,275.1754946834214
Matthew-2016,AL142016,37031971002,2016-09-23,177.05780849158225
Matthew-2016,AL142016,37031971101,2016-09-23,192.03448452708028
Matthew-2016,AL142016,37031971102,2016-09-23,174.85311958190056
Matthew-2016,AL142016,37031980100,2016-09-23,148.19781809760758
Matthew-2016,AL142016,37031990100,2016-09-23,184.64525574061832
Matthew-2016,AL142016,37031990200,2016-09-23,193.92043299130688
Matthew-2016,AL142016,37033930100,2016-09-23,28.412569076955
Matthew-2016,AL142016,37033930200,2016-09-23,24.47199411523272
Matthew-2016,AL142016,37033930300,2016-09-23,19.93087518129238
Matthew-2016,AL142016,37033930400,2016-09-23,16.706189553711734
Matthew-2016,AL142016,37033930500,2016-09-23,22.592127887239535
Matthew-2016,AL142016,37033930600,2016-09-23,22.739802245120806
Matthew-2016,AL142016,37035010101,2016-09-23,0
Matthew-2016,AL142016,37035010102,2016-09-23,0
Matthew-2016,AL142016,37035010201,2016-09-23,0
Matthew-2016,AL142016,37035010202,2016-09-23,0
Matthew-2016,AL142016,37035010301,2016-09-23,0
Matthew-2016,AL142016,37035010302,2016-09-23,0
Matthew-2016,AL142016,37035010303,2016-09-23,0
Matthew-2016,AL142016,37035010304,2016-09-23,0
Matthew-2016,AL142016,37035010401,2016-09-23,0
Matthew-2016,AL142016,37035010402,2016-09-23,0
Matthew-2016,AL142016,37035010501,2016-09-23,0
Matthew-2016,AL142016,37035010502,2016-09-23,0
Matthew-2016,AL142016,37035010600,2016-09-23,0
Matthew-2016,AL142016,37035010700,2016-09-23,0
Matthew-2016,AL142016,37035010900,2016-09-23,0
Matthew-2016,AL142016,37035011000,2016-09-23,0
Matthew-2016,AL142016,37035011101,2016-09-23,0
Matthew-2016,AL142016,37035011102,2016-09-23,0
Matthew-2016,AL142016,37035011200,2016-09-23,0
Matthew-2016,AL142016,37035011300,2016-09-23,0
Matthew-2016,AL142016,37035011401,2016-09-23,0
Matthew-2016,AL142016,37035011402,2016-09-23,0
Matthew-2016,AL142016,37035011501,2016-09-23,0.5064334540435396
Matthew-2016,AL142016,37035011503,2016-09-23,0.9496267551393923
Matthew-2016,AL142016,37035011504,2016-09-23,1.3166584575423268
Matthew-2016,AL142016,37035011601,2016-09-23,0.8541914613179691
Matthew-2016,AL142016,37035011602,2016-09-23,0.9755922808186652
Matthew-2016,AL142016,37035011701,2016-09-23,0
Matthew-2016,AL142016,37035011702,2016-09-23,0.9623923396505554
Matthew-2016,AL142016,37035011801,2016-09-23,0
Matthew-2016,AL142016,37035011802,2016-09-23,0
Matthew-2016,AL142016,37037020103,2016-09-23,30.640056479924628
Matthew-2016,AL142016,37037020104,2016-09-23,38.79802615842038
Matthew-2016,AL142016,37037020105,2016-09-23,44.40194720346837
Matthew-2016,AL142016,37037020106,2016-09-23,38.36930845158159
Matthew-2016,AL142016,37037020200,2016-09-23,71.15206965434767
Matthew-2016,AL142016,37037020300,2016-09-23,54.39071189424785
Matthew-2016,AL142016,37037020401,2016-09-23,64.45872415483716
Matthew-2016,AL142016,37037020402,2016-09-23,64.06705490437079
Matthew-2016,AL142016,37037020500,2016-09-23,67.9536453037046
Matthew-2016,AL142016,37037020600,2016-09-23,39.60516194673809
Matthew-2016,AL142016,37037020701,2016-09-23,28.456135069845697
Matthew-2016,AL142016,37037020702,2016-09-23,5.71100721983752
Matthew-2016,AL142016,37037020800,2016-09-23,27.29969848439514
Matthew-2016,AL142016,37039930100,2016-09-23,0
Matthew-2016,AL142016,37039930200,2016-09-23,0
Matthew-2016,AL142016,37039930300,2016-09-23,0
Matthew-2016,AL142016,37039930400,2016-09-23,0
